name,kegg,biocyc,smdb,other
glycosaminoglycan biosynthesis - heparan sulfate / heparin,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00534"" target=_new>KEGG</a>",,,
glycosaminoglycan degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00531"" target=_new>KEGG</a>",,,
glycosphingolipid biosynthesis - ganglio series,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00604"" target=_new>KEGG</a>",,,
glycosphingolipid biosynthesis - ganglioseries,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00604"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/144"" target='_blank'>Other Link</a>"
glycosphingolipid biosynthesis - globo series,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00603"" target=_new>KEGG</a>",,,
glycosphingolipid biosynthesis - globoseries,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00603"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/145"" target='_blank'>Other Link</a>"
glycosphingolipid biosynthesis - lacto and neolacto series,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00601"" target=_new>KEGG</a>",,,
glycosphingolipid biosynthesis - lactoseries,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00601"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/146"" target='_blank'>Other Link</a>"
glycosphingolipid biosynthesis - neolactoseries,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00601"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/147"" target='_blank'>Other Link</a>"
glycosphingolipid metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/148"" target='_blank'>Other Link</a>"
glycosylphosphatidylinositol(gpi)-anchor biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00563"" target=_new>KEGG</a>",,,
glyoxylate and dicarboxylate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00630"" target=_new>KEGG</a>",,,
glyoxylate cycle,,"<a href=""https://biocyc.org/META/new-image?object=GLYOXYLATE-BYPASS"" target='_blank'>BioCyc Link</a>",,
guanine and guanosine salvage i,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-6620"" target='_blank'>Other Link</a>"
guanosine nucleotides degradation iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6608"" target='_blank'>BioCyc Link</a>",,
hedgehog signaling pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04340"" target=_new>KEGG</a>",,,
heme biosynthesis,,,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP561"" target='_blank'>Other Link</a>"
heme biosynthesis from uroporphyrinogen-iii i,,"<a href=""https://biocyc.org/PLASMO/NEW-IMAGE?type=PATHWAY&object=HEME-BIOSYNTHESIS-II"" target='_blank'>BioCyc Link</a>",,
heme biosynthesis ii,,"<a href=""https://biocyc.org/PLASMO/NEW-IMAGE?type=PATHWAY&object=HEME-BIOSYNTHESIS-II"" target='_blank'>BioCyc Link</a>",,
heme degradation,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-5874"" target='_blank'>BioCyc Link</a>",,
heparan sulfate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6564"" target='_blank'>BioCyc Link</a>",,
heparan sulfate biosynthesis (late stages),,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6558"" target='_blank'>BioCyc Link</a>",,
heparan sulfate degradation,,,,"<a href=""http://metafishnet.appspot.com/pathway/152"" target='_blank'>Other Link</a>"
heptaprenyl diphosphate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5807"" target='_blank'>BioCyc Link</a>",,
hexaprenyl diphosphate biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=HEXPPSYN-PWY"" target='_blank'>BioCyc Link</a>",,
hexose phosphorylation,,,,"<a href=""http://metafishnet.appspot.com/pathway/153"" target='_blank'>Other Link</a>"
high-mannose type n-glycan biosynthesis,,,,
histamine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6173"" target='_blank'>BioCyc Link</a>",,
histamine degradation,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6181"" target='_blank'>BioCyc Link</a>",,
histidine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=HISTSYN-PWY&detail-level=2"" target='_blank'>Other Link</a>"
histidine degradation iii,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5030"" target='_blank'>BioCyc Link</a>",,
histidine degradation vi,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=HISHP-PWY"" target='_blank'>BioCyc Link</a>",,
histidine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00340"" target=_new>KEGG</a>",,"<a href=""http://www.smpdb.ca/view/SMP00035"""" target=_new>SMP</a>",
homocysteine and cysteine interconversion,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-801"" target='_blank'>BioCyc Link</a>",,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP128"" target='_blank'>Other Link</a>"
homocysteine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5344"" target='_blank'>Other Link</a>"
homocysteine degradation,,,,
homologous recombination,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03440"" target=_new>KEGG</a>",,,
homoserine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=HOMOSERSYN-PWY&redirect=T"" target='_blank'>Other Link</a>"
hyaluronan metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/155"" target='_blank'>Other Link</a>"
hydroxymethylpyrimidine salvage,,"<a href=""https://biocyc.org/ECOLI/NEW-IMAGE?type=PATHWAY&object=PWY-6910"" target='_blank'>BioCyc Link</a>",,
hypusine biosynthesis,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5905"" target='_blank'>BioCyc Link</a>",,
indole alkaloid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00901"" target=_new>KEGG</a>",,,
indole-3-acetate biosynthesis v (bacteria and fungi),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5026"" target='_blank'>BioCyc Link</a>",,
inosine-5'-phosphate biosynthesis,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6123&detail-level=2&ENZORG=NONE"" target='_blank'>BioCyc Link</a>",,
inosine-5'-phosphate biosynthesis ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6124"" target='_blank'>BioCyc Link</a>",,
inositol phosphate biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-402"" target='_blank'>Other Link</a>"
inositol phosphate metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00562"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
inositol pyrophosphates biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6369"" target='_blank'>BioCyc Link</a>",,
insect hormone biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00981"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
isoleucine biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00290"" target=_new>KEGG</a>",,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ILEUSYN-PWY"" target='_blank'>Other Link</a>"
isoleucine biosynthesis from threonine,,"<a href=""https://biocyc.org/META/new-image?object=ILEUSYN-PWY"" target='_blank'>BioCyc Link</a>",,
isoleucine degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00280"" target=_new>KEGG</a>",,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4109"" target='_blank'>Other Link</a>"
isoleucine degradation i,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00280"" target=_new>KEGG</a>","<a href=""https://biocyc.org/META/new-image?object=ILEUDEG-PWY"" target='_blank'>BioCyc Link</a>",,
isoleucine degradation ii,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00280"" target=_new>KEGG</a>",,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4109"" target='_blank'>Other Link</a>"
isoquinoline alkaloid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00950"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
itaconate degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5749"" target='_blank'>BioCyc Link</a>",,
jak-stat signaling pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04630"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
keratan sulfate biosynthesis,,,,"<a href=""http://metafishnet.appspot.com/pathway/156"" target='_blank'>Other Link</a>"
keratan sulfate degradation,,,,"<a href=""http://metafishnet.appspot.com/pathway/157"" target='_blank'>Other Link</a>"
ketogenesis,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY66-367"" target='_blank'>Other Link</a>"
ketolysis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-368"" target='_blank'>BioCyc Link</a>",,
l-carnitine biosynthesis,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6100&detail-level=2&ENZORG=NONE"" target='_blank'>BioCyc Link</a>",,
l-cysteine degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=CYSTEINE-DEG-PWY"" target='_blank'>BioCyc Link</a>",,
l-cysteine degradation ii,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=LCYSDEG-PWY"" target='_blank'>BioCyc Link</a>",,
l-cysteine degradation iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5329"" target='_blank'>BioCyc Link</a>",,
l-dopa degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6334"" target='_blank'>BioCyc Link</a>",,
l-dopachrome biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6481"" target='_blank'>BioCyc Link</a>",,
l-glutamine biosynthesis ii (trna-dependent),,"<a href=""https://biocyc.org/MGEN243273/NEW-IMAGE?type=PATHWAY&object=PWY-5921"" target='_blank'>BioCyc Link</a>",,
l-serine degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=SERDEG-PWY"" target='_blank'>BioCyc Link</a>",,
lactose degradation iii,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=BGALACT-PWY"" target='_blank'>BioCyc Link</a>",,
lanosterol biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6132"" target='_blank'>BioCyc Link</a>",,
leucine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=LEUSYN-PWY"" target='_blank'>Other Link</a>"
leucine degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=LEU-DEG2-PWY"" target='_blank'>BioCyc Link</a>",,
leucine degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=LEU-DEG2-PWY"" target='_blank'>BioCyc Link</a>",,
leucine degradation iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5076&orgids=AAEO224324"" target='_blank'>BioCyc Link</a>",,
leukotriene biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-375"" target='_blank'>BioCyc Link</a>",,
leukotriene metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/158"" target='_blank'>Other Link</a>"
limonene and pinene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00903"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
linoleate metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/160"" target='_blank'>Other Link</a>"
linoleic acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00591"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
lipoate biosynthesis and incorporation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-501"" target='_blank'>BioCyc Link</a>",,
lipoate biosynthesis and incorporation ii,,"<a href=""https://biocyc.org/META/new-image?object=PWY0-1275"" target='_blank'>BioCyc Link</a>",,
lipoate metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/161"" target='_blank'>Other Link</a>"
lipoate salvage and modification,,,,"<a href=""http://mousecyc.jax.org/MOUSE/NEW-IMAGE?type=PATHWAY&object=PWY0-522"" target='_blank'>Other Link</a>"
lipoate salvage i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-522"" target='_blank'>BioCyc Link</a>",,
lipoic acid metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00785"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
lipopolysaccharide biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00540"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
lysine biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00300"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
lysine degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00310"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00036"""" target=_new>SMP</a>",
lysine degradation ii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-425"" target='_blank'>BioCyc Link</a>",,
lysine metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/162"" target='_blank'>Other Link</a>"
lysosome,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04142"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
malaria,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?05144"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
mannose degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=MANNCAT-PWY"" target='_blank'>BioCyc Link</a>",,
map kinase cascade,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-14"" target='_blank'>BioCyc Link</a>",,
melatonin degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6398"" target='_blank'>BioCyc Link</a>",,
melatonin degradation ii,,"<a href=""https://biocyc.org/HUMAN/new-image?type=PATHWAY&object=PWY-6399"" target='_blank'>BioCyc Link</a>",,
melatonin degradation iii,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6400"" target='_blank'>BioCyc Link</a>",,
melibiose degradation,,"<a href=""https://biocyc.org/ECOLI/NEW-IMAGE?type=PATHWAY&object=PWY0-1301"" target='_blank'>BioCyc Link</a>",,
metabolism of xenobiotics by cytochrome p450,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00980"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
methane metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00680"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
methionine and cysteine metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00270"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/163"" target='_blank'>Other Link</a>"
methionine biosynthesis,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-238"" target='_blank'>Other Link</a>"
methionine degradation i (to homocysteine),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=MANNCAT-PWY"" target='_blank'>BioCyc Link</a>",,
methionine salvage ii (mammalia),,,,"<a href=""http://mousecyc.jax.org/META/NEW-IMAGE?type=PATHWAY&object=ADENOSYLHOMOCYSCAT-PWY"" target='_blank'>Other Link</a>"
methionine salvage pathway,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-64"" target='_blank'>Other Link</a>"
methyl parathion degradation,,"<a href=""https://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5489"" target='_blank'>BioCyc Link</a>",,
methyl-coenzyme m reduction to methane,,,,"<a href=""http://mousecyc.jax.org/META/NEW-IMAGE?type=PATHWAY&object=METHFORM-PWY&detail-level=1&orgids=(HUMAN%20MOUSE)"" target='_blank'>Other Link</a>"
methylglyoxal catabolism,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-901"" target='_blank'>Other Link</a>"
methylglyoxal degradation i,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5386"" target='_blank'>BioCyc Link</a>",,
methylglyoxal degradation iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5453"" target='_blank'>BioCyc Link</a>",,
methylglyoxal degradation vi,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=MGLDLCTANA-PWY"" target='_blank'>BioCyc Link</a>",,
methylmalonyl pathway,,,,
methylthiopropionate biosynthesis,,"<a href=""https://biocyc.org/META/new-image?object=PWY-5389"" target='_blank'>BioCyc Link</a>",,
mevalonate degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5074"" target='_blank'>BioCyc Link</a>",,
mevalonate pathway,,,,"<a href=""https://biocyc.org/META/new-image?object=PWY-922"" target='_blank'>Other Link</a>"
mevalonate pathway i,,"<a href=""https://biocyc.org/META/new-image?object=PWY-922"" target='_blank'>BioCyc Link</a>",,
mineralocorticoid biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY66-382"" target='_blank'>BioCyc Link</a>",,
mismatch repair,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03430"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
mitochondrial l-carnitine shuttle pathway,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-6111"" target='_blank'>Other Link</a>"
molybdenum cofactor biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6823&show-citations=NIL"" target='_blank'>BioCyc Link</a>",,
mono-unsaturated fatty acid beta-oxidation,,,,"<a href=""http://metafishnet.appspot.com/pathway/164"" target='_blank'>Other Link</a>"
monoterpenoid biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00902"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
morphine biosynthesis,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5270"" target='_blank'>BioCyc Link</a>",,
mrna surveillance pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03015"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
mtor signaling pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04150"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
mucin type o-glycan biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00512"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
n-acetylglucosamine degradation,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=GLUAMCAT-PWY"" target='_blank'>BioCyc Link</a>",,
n-glycan biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00510"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
n-glycan degradation,,,,"<a href=""http://metafishnet.appspot.com/pathway/165"" target='_blank'>Other Link</a>"
nad biosynthesis from 2-amino-3-carboxymuconate semialdehyde,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5653"" target='_blank'>BioCyc Link</a>",,
nad biosynthesis iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=NAD-BIOSYNTHESIS-III"" target='_blank'>BioCyc Link</a>",,
nad phosphorylation and dephosphorylation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=NADPHOS-DEPHOS-PWY"" target='_blank'>BioCyc Link</a>",,
nad salvage pathway,,,,"<a href=""https://www.wikipathways.org/index.php/Pathway:WP171"" target='_blank'>Other Link</a>"
nad salvage pathway iii,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=NAD-BIOSYNTHESIS-II"" target='_blank'>BioCyc Link</a>",,
nadh repair,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-6938"" target='_blank'>BioCyc Link</a>",,
naphthalene and anthracene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00626"" target=_new>KEGG</a>","<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5427"" target='_blank'>BioCyc Link</a>",,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-7620"" target='_blank'>Other Link</a>"
naphthalene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00626"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
neuroactive ligand-receptor interaction,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04080"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
nicotinamide riboside salvage pathway i,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4106"" target='_blank'>Other Link</a>"
nicotinamide riboside salvage pathway ii,,"<a href=""https://biocyc.org/DGEO319795/NEW-IMAGE?type=PATHWAY&object=NAD-BIOSYNTHESIS-II"" target='_blank'>BioCyc Link</a>",,
nicotinate and nicotinamide metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00760"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00037"""" target=_new>SMP</a>",
nicotinate riboside salvage pathway i,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-224"" target='_blank'>Other Link</a>"
nicotinate riboside salvage pathway ii,,,,"<a href=""https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&object=PWY3O-236&detail-level=2"" target='_blank'>Other Link</a>"
nicotine degradation iii,,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY66-221"" target='_blank'>Other Link</a>"
nicotine degradation iv,,,,"<a href=""https://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY66-201"" target='_blank'>Other Link</a>"
nitrogen metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00910"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
nitrotoluene degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00633"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
non-homologous end-joining,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03450"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
noradrenaline and adrenaline degradation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6342&detail-level=2"" target='_blank'>BioCyc Link</a>",,
notch signaling pathway,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?04330"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
novobiocin biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00401"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
nucleotide excision repair,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?03420"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
nucleotide sugar metabolism,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00520"" target=_new>KEGG</a>",,,"<a href=""http://metafishnet.appspot.com/pathway/168"" target='_blank'>Other Link</a>"
o-glycan biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00514"" target=_new>KEGG</a>",,,
oleate &beta;-oxidation,,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY0-1337"" target='_blank'>BioCyc Link</a>",,
oleate biosynthesis,,"<a href=""https://biocyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-5996"" target='_blank'>BioCyc Link</a>",,
oleate biosynthesis ii (animals),,"<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-5996"" target='_blank'>BioCyc Link</a>",,
omega-3 fatty acid metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/170"" target='_blank'>Other Link</a>"
omega-6 fatty acid metabolism,,,,"<a href=""http://metafishnet.appspot.com/pathway/171"" target='_blank'>Other Link</a>"
one carbon pool by folate,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00670"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00039"""" target=_new>SMP</a>",
other glycan degradation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00511"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
other types of o-glycan biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00514"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
oxidative ethanol degradation i,,,,
oxidative ethanol degradation iii,,,,
oxidative phosphorylation,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00190"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>",,
oxidized gtp and dgtp detoxification,,,,"<a href=""https://metacyc.org/META/new-image?type=PATHWAY&object=PWY-6502&detail-level=2&ENZORG=ALL"" target='_blank'>Other Link</a>"
p-aminobenzoate biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00627"" target=_new>KEGG</a>","<a href=""https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6543"" target='_blank'>BioCyc Link</a>",,
palmitate biosynthesis,,,,"<a href=""https://metacyc.org/META/NEW-IMAGE?object=Palmitate-Biosynthesis"" target='_blank'>Other Link</a>"
palmitate biosynthesis i (animals),,"<a href=""https://biocyc.org/META/new-image?object=PWY-5994"" target='_blank'>BioCyc Link</a>",,
palmitoleate biosynthesis,,"<a href=""https://biocyc.org/ECOLI/NEW-IMAGE?type=PATHWAY&object=PWY-6282"" target='_blank'>BioCyc Link</a>",,
pantothenate and coa biosynthesis,"<a href=""http://www.genome.jp/kegg-bin/show_pathway?00770"" target=_new>KEGG</a>","<a href="" target='_blank'>BioCyc Link</a>","<a href=""http://www.smpdb.ca/view/SMP00040"""" target=_new>SMP</a>",
