V1,V2,V3
Nilotinib Inhibition of BCR-ABL,Nilotinib,http://www.smpdb.ca/view/SMP31697
Nimodipine Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Nimodipine",http://www.smpdb.ca/view/SMP00380
Nisoldipine Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Nisoldipine",http://www.smpdb.ca/view/SMP00381
Nitrendipine Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Nitrendipine",http://www.smpdb.ca/view/SMP00382
Nizatidine Action Pathway,Chloride ion; Adenosine triphosphate; Potassium; Hydrogen carbonate; Histamine; Acetylcholine; Zinc (II) ion; ADP; Phosphate; Carbon dioxide; Water; Nizatidine; Hydrogen Ion; Histamium,http://www.smpdb.ca/view/SMP00233
Non Ketotic Hyperglycinemia,"2-Ketobutyric acid; Betaine; Adenosine monophosphate; Ammonia; Creatine; Dimethylglycine; L-Cystathionine; Glyoxylic acid; Glycine; Guanidoacetic acid; Glyceric acid; L-Glutamic acid; L-Alanine; L-Serine; Oxoglutaric acid; Orotidylic acid; Pyruvic acid; Pyrophosphate; Sarcosine; Phosphoserine; L-Arginine; Adenosine triphosphate; Magnesium; L-Cysteine; L-Methionine; Homocysteine; 3-Phosphoglyceric acid; NAD; S-Adenosylhomocysteine; Succinyl-CoA; Phosphohydroxypyruvic acid; 5-Aminolevulinic acid; Pyruvaldehyde; S-Adenosylmethionine; Acetyl-CoA; FAD; Zinc (II) ion; ADP; Hydroxypyruvic acid; Oxygen; Coenzyme A; Formaldehyde; Phosphate; (R)-lipoic acid; NADH; Pyridoxal 5'-phosphate; 5,10-Methylene-THF; Tetrahydrofolic acid; Carbon dioxide; Water; Aminoacetone; Hydrogen peroxide; D-Serine; L-2-Amino-3-oxobutanoic acid; Dihydrolipoate; 8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid; (S)-lipoic acid",http://www.smpdb.ca/view/SMP00223
Olmesartan Action Pathway,Aldosterone; Chloride ion; Angiotensin II; Zinc (II) ion; Vasopressin; Olmesartan; Angiotensin I,http://www.smpdb.ca/view/SMP00163
Olopatadine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Olopatadine; Histamium",http://www.smpdb.ca/view/SMP60740
Omeprazole Action Pathway,Chloride ion; Adenosine triphosphate; Potassium; Hydrogen carbonate; Histamine; Acetylcholine; Zinc (II) ion; ADP; Hydrogen; Phosphate; Omeprazole; Carbon dioxide; Water; 5-Hydroxyomeprazole; Hydrogen Ion; Histamium,http://www.smpdb.ca/view/SMP00226
Omeprazole Metabolism Pathway,Hydrogen; Omeprazole,http://www.smpdb.ca/view/SMP00613
Ornithine Aminotransferase Deficiency (OAT Deficiency),Tetrahydrobiopterin; Adenosine monophosphate; Ammonia; Argininosuccinic acid; Creatine; Glycine; Guanidoacetic acid; Fumaric acid; L-Glutamic acid; L-Proline; L-Aspartic acid; Oxoglutaric acid; Ornithine; NADP; NADPH; Oxalacetic acid; Pyrophosphate; Succinic acid; Urea; L-Arginine; Adenosine triphosphate; NAD; Citrulline; S-Adenosylhomocysteine; Carbamoyl phosphate; S-Adenosylmethionine; FAD; 1-Pyrroline-5-carboxylic acid; Manganese; ADP; Pyrroline hydroxycarboxylic acid; Oxygen; Phosphate; NADH; Pyridoxal 5'-phosphate; Phosphocreatine; Flavin Mononucleotide; Carbon dioxide; 4-Hydroxy-2-oxoglutaric acid; L-Glutamic gamma-semialdehyde; Water; Phosphoric acid; 1-Pyrroline-4-hydroxy-2-carboxylate; 4-Hydroxy-L-glutamic acid; Hydrogen peroxide; Heme; Nitric oxide; D-Proline; N-(o)-Hydroxyarginine; 4-Hydroxy-L-proline; L-4-Hydroxyglutamate semialdehyde; 1-Pyrroline-2-carboxylic acid; Hydrogen Ion,http://www.smpdb.ca/view/SMP00363
Ornithine Transcarbamylase Deficiency (OTC Deficiency),Adenosine monophosphate; Ammonia; Argininosuccinic acid; Fumaric acid; L-Glutamic acid; L-Alanine; L-Aspartic acid; Oxoglutaric acid; Ornithine; Oxalacetic acid; Pyruvic acid; Pyrophosphate; Urea; Calcium; L-Arginine; Adenosine triphosphate; L-Glutamine; NAD; Citrulline; Carbamoyl phosphate; Manganese; ADP; Phosphate; NADH; Pyridoxal 5'-phosphate; Carbon dioxide; Water; Phosphoric acid,http://www.smpdb.ca/view/SMP00205
Orphenadrine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Orphenadrine; Histamium",http://www.smpdb.ca/view/SMP58808
Oxaprozin Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Oxaprozin; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00113
Oxatomide H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Oxatomide",http://www.smpdb.ca/view/SMP59044
Oxomemazine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Oxomemazine",http://www.smpdb.ca/view/SMP59738
Oxprenolol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Oxprenolol",http://www.smpdb.ca/view/SMP00304
Oxybuprocaine Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Oxybuprocaine,http://www.smpdb.ca/view/SMP00400
Oxycodone Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Oxycodone,http://www.smpdb.ca/view/SMP00409
Oxymorphone Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Oxymorphone,http://www.smpdb.ca/view/SMP00412
Oxytetracycline Action Pathway,Adenosine monophosphate; Cytidine triphosphate; Cytidine monophosphate; L-Alanine; L-Proline; L-Threonine; L-Asparagine; L-Isoleucine; L-Histidine; Pyrophosphate; Uridine triphosphate; Uridine 5'-monophosphate; Adenosine triphosphate; L-Leucine; L-Methionine; L-Valine; Guanosine triphosphate; Guanosine monophosphate; D-Serine; Oxytetracycline,http://www.smpdb.ca/view/SMP00293
Paclitaxel Action Pathway,Adenosine triphosphate; Phosphorus; ADP; Phosphate; Water; Paclitaxel,http://www.smpdb.ca/view/SMP00434
Pamidronate Action Pathway,"7-Dehydrocholesterol; Cholesterol; Formic acid; NADP; Palmitic acid; NADPH; Mevalonic acid; Pyrophosphate; Squalene; Adenosine triphosphate; Magnesium; Vitamin D3; Farnesyl pyrophosphate; 4,4-Dimethylcholesta-8,14,24-trienol; (S)-5-Diphosphomevalonic acid; Dimethylallylpyrophosphate; Lathosterol; (S)-2,3-Epoxysqualene; Acetyl-CoA; 4a-Methylzymosterol; FAD; Lanosterin; Geranyl-PP; 4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol; ADP; Mevalonic acid-5P; Isopentenyl pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; Carbon dioxide; 8-Dehydrocholesterol; Water; Desmosterol; Heme; 7-Dehydrodesmosterol; Zymosterol intermediate 2; 3-Keto-4-methylzymosterol; 24,25-Dihydrolanosterol; 4,4-Dimethyl-5a-cholesta-8-en-3b-ol; 5a-Cholest-8-en-3b-ol; 5a-Cholesta-7,24-dien-3b-ol; 4a-Methylzymosterol-4-carboxylic acid; CE(18:0); Pamidronate; Iron",http://www.smpdb.ca/view/SMP00117
Pantoprazole Action Pathway,Chloride ion; Adenosine triphosphate; Potassium; Hydrogen carbonate; Histamine; Acetylcholine; Zinc (II) ion; ADP; Hydrogen; Phosphate; Carbon dioxide; Water; Pantoprazole; Hydrogen Ion; Histamium,http://www.smpdb.ca/view/SMP00228
Pantoprazole Metabolism Pathway,Hydrogen; Pantoprazole,http://www.smpdb.ca/view/SMP00615
Paromomycin Action Pathway,Adenosine monophosphate; Cytidine triphosphate; Cytidine monophosphate; L-Alanine; L-Proline; L-Threonine; L-Asparagine; L-Isoleucine; L-Histidine; Pyrophosphate; Uridine triphosphate; Uridine 5'-monophosphate; Adenosine triphosphate; L-Leucine; L-Methionine; L-Valine; Guanosine triphosphate; Guanosine monophosphate; D-Serine; Paromomycin,http://www.smpdb.ca/view/SMP00714
Penbutolol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Penbutolol",http://www.smpdb.ca/view/SMP00305
Pentazocine Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Pentazocine,http://www.smpdb.ca/view/SMP00686
Perindopril Action Pathway,Aldosterone; Chloride ion; Angiotensin II; Zinc (II) ion; Vasopressin; Perindopril; Perindoprilat; Perindoprilat glucuronide; Angiotensin I,http://www.smpdb.ca/view/SMP00152
Phenbenzamine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Phenbenzamine",http://www.smpdb.ca/view/SMP59702
Phenindamine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Phenindamine; Histamium",http://www.smpdb.ca/view/SMP61190
Phenindione Action Pathway,"Cortexolone; Calcium; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phenindione; Phytonadione",http://www.smpdb.ca/view/SMP00655
Pheniramine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Pheniramine; Histamium",http://www.smpdb.ca/view/SMP56662
Phenprocoumon Action Pathway,"Cortexolone; Calcium; Vitamin K1 2,3-epoxide; Reduced Vitamin K (phylloquinone); Phenprocoumon; Phytonadione",http://www.smpdb.ca/view/SMP00271
Phenylbutazone Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; Phenylbutazone; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00701
Phenylketonuria,Adenosine monophosphate; Ammonia; Acetoacetic acid; Homogentisic acid; Fumaric acid; L-Glutamic acid; L-Tyrosine; L-Phenylalanine; Phenylpyruvic acid; Oxoglutaric acid; Pyrophosphate; Calcium; Adenosine triphosphate; Magnesium; Fe2+; 4-Hydroxyphenylpyruvic acid; FAD; 4-Fumarylacetoacetic acid; Oxygen; Pyridoxal 5'-phosphate; Carbon dioxide; Maleylacetoacetic acid; Water; 4a-Hydroxytetrahydrobiopterin; Hydrogen peroxide; Fe3+; Iron; L-erythro-tetrahydrobiopterin,http://www.smpdb.ca/view/SMP00206
Phenyltoloxamine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Phenyltoloxamine",http://www.smpdb.ca/view/SMP58916
Phenytoin (Antiarrhythmic) Action Pathway,"NADP; NADPH; Uridine 5'-diphosphate; Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; Uridine diphosphate glucuronic acid; S-Adenosylhomocysteine; S-Adenosylmethionine; FAD; ADP; Oxygen; Phosphate; Inositol 1,4,5-trisphosphate; Water; Heme; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); 3',4'-Dihydrodiol; Phenytoin; 4-Hydroxyphenytoin; Hydrogen Ion; 4-Hydroxyphenytoin glucuronide; Phenytoin arene-oxide; Phenytoin catechol; Phenytoin dihydrodiol; Phenytoin methylcatechol; Phenytoin quinone",http://www.smpdb.ca/view/SMP00327
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),"Biotin; D-Glucose; Fructose 6-phosphate; L-Lactic acid; Oxoglutaric acid; Oxalacetic acid; Pyruvic acid; Phosphoenolpyruvic acid; Beta-D-Glucose; Adenosine triphosphate; Magnesium; Hydrogen carbonate; Malic acid; 3-Phosphoglyceric acid; NAD; Fructose 1,6-bisphosphate; D-Glyceraldehyde 3-phosphate; Guanosine diphosphate; Glyceric acid 1,3-biphosphate; Guanosine triphosphate; 2,3-Diphosphoglyceric acid; Manganese; ADP; Glucose 6-phosphate; Phosphate; Dihydroxyacetone phosphate; NADH; Glucose 1-phosphate; Carbon dioxide; Water; Phosphoric acid; Alpha-D-Glucose; 2-Phospho-D-glyceric acid; Beta-D-Glucose 6-phosphate; Hydrogen Ion",http://www.smpdb.ca/view/SMP00560
Pimethixene H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Histamium; Pimethixene",http://www.smpdb.ca/view/SMP62886
Pindolol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Pindolol",http://www.smpdb.ca/view/SMP00306
Pirenzepine Action Pathway,Chloride ion; Adenosine triphosphate; Potassium; Hydrogen carbonate; Histamine; Acetylcholine; Zinc (II) ion; ADP; Phosphate; Carbon dioxide; Water; Pirenzepine; Hydrogen Ion; Histamium,http://www.smpdb.ca/view/SMP00246
Piroxicam Action Pathway,"Glutathione; L-Glutamic acid; NADP; NADPH; Calcium; Magnesium; Arachidonic acid; Leukotriene B4; Prostaglandin F2a; Leukotriene C4; Prostaglandin E2; Zinc (II) ion; Prostaglandin I2; Leukotriene A4; Oxygen; Prostaglandin H2; Prostaglandin D2; Thromboxane A2; 20-Hydroxy-leukotriene B4; Water; 5,6-Epoxy-8,11,14-eicosatrienoic acid; 8,9-Epoxyeicosatrienoic acid; 14,15-DiHETrE; 8,9-DiHETrE; 11,12-DiHETrE; 5,6-DHET; Prostaglandin J2; Prostaglandin A2; Heme; Prostaglandin G2; Thromboxane B2; Oxidized glutathione; 15(S)-HETE; 12-Keto-leukotriene B4; Prostaglandin B2; Delta-12-Prostaglandin J2; 6-Ketoprostaglandin E1; 11-Dehydro-thromboxane B2; 12(S)-HPETE; 15(S)-HPETE; 14,15-Epoxy-5,8,11-eicosatrienoic acid; 8-Isoprostane; 11,12-Epoxyeicosatrienoic acid; 8-HETE; 16(R)-HETE; 11,12,15-THETA; 12(R)-HPETE; 11H-14,15-EETA; 11,14,15-THETA; 8(S)-HPETE; 15H-11,12-EETA; 15-Deoxy-d-12,14-PGJ2; 20-Hydroxyeicosatetraenoic acid; 20-Carboxy-leukotriene B4; PC(14:0/20:4(5Z,8Z,11Z,14Z)); 5-KETE; LysoPC(14:0); 5-HETE; 5-HPETE; 19(S)-HETE; 11-Epi-PGF2a; Fe3+; 12-KETE; 5'-Hydroxypiroxicam; Piroxicam; Prostaglandin-c2; Arachidonate; prostaglandin-a2",http://www.smpdb.ca/view/SMP00077
Polythiazide Action Pathway,Aldosterone; Urea; Chloride ion; L-Cysteine; Potassium; Sodium; Hydrogen carbonate; Water; Polythiazide,http://www.smpdb.ca/view/SMP00080
Ponatinib Inhibition of BCR-ABL,Ponatinib,http://www.smpdb.ca/view/SMP31700
Porphyria Variegata (PV),"Ammonia; Bilirubin; Glycine; Protoporphyrin IX; Porphobilinogen; Uridine 5'-diphosphate; 4E,15Z-Bilirubin IXa; Coproporphyrin III; Coproporphyrin I; Fe2+; NAD; Uroporphyrin III; Uridine diphosphate glucuronic acid; Uroporphyrin I; Farnesyl pyrophosphate; Biliverdin; Succinyl-CoA; Uroporphyrinogen III; Protoporphyrinogen IX; Hydroxymethylbilane; 5-Aminolevulinic acid; Heme O; FAD; Coproporphyrinogen III; Carbon monoxide; Hydrogen; Oxygen; NADH; Pyridoxal 5'-phosphate; Carbon dioxide; Water; Coproporphyrinogen I; Uroporphyrinogen I; Hydrogen peroxide; Heme; Bilirubin diglucuronide; D-Urobilinogen; Heme A; Fe3+; Zinc",http://www.smpdb.ca/view/SMP00346
Practolol Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Practolol",http://www.smpdb.ca/view/SMP00669
Pravastatin Action Pathway,"7-Dehydrocholesterol; Cholesterol; Formic acid; NADP; Palmitic acid; NADPH; Mevalonic acid; Pyrophosphate; Squalene; Adenosine triphosphate; Magnesium; Vitamin D3; Farnesyl pyrophosphate; 4,4-Dimethylcholesta-8,14,24-trienol; (S)-5-Diphosphomevalonic acid; Dimethylallylpyrophosphate; Lathosterol; (S)-2,3-Epoxysqualene; Acetyl-CoA; 4a-Methylzymosterol; FAD; Lanosterin; Geranyl-PP; 4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol; ADP; Mevalonic acid-5P; Isopentenyl pyrophosphate; 3-Hydroxy-3-methylglutaryl-CoA; Oxygen; Coenzyme A; Phosphate; Acetoacetyl-CoA; Carbon dioxide; 8-Dehydrocholesterol; Water; Desmosterol; Heme; 7-Dehydrodesmosterol; Pravastatin; Zymosterol intermediate 2; 3-Keto-4-methylzymosterol; 24,25-Dihydrolanosterol; 4,4-Dimethyl-5a-cholesta-8-en-3b-ol; 5a-Cholest-8-en-3b-ol; 5a-Cholesta-7,24-dien-3b-ol; 4a-Methylzymosterol-4-carboxylic acid; CE(18:0); Iron",http://www.smpdb.ca/view/SMP00089
Prednisolone Action Pathway,Prednisolone,http://www.smpdb.ca/view/SMP00441
Prednisolone Metabolism Pathway,Prednisolone,http://www.smpdb.ca/view/SMP00632
Prednisone Action Pathway,Heme; Prednisone; Prednisolone; Hydrogen Ion,http://www.smpdb.ca/view/SMP00440
Prednisone Metabolism Pathway,Heme; Prednisone; Prednisolone; Hydrogen Ion,http://www.smpdb.ca/view/SMP00631
Prilocaine Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Prilocaine,http://www.smpdb.ca/view/SMP00401
"Primary hyperoxaluria II, PH2",Biotin; Acetic acid; Adenosine monophosphate; Glutathione; L-Malic acid; L-Lactic acid; NADP; NADPH; Oxalacetic acid; Pyruvic acid; Pyrophosphate; Phosphoenolpyruvic acid; Adenosine triphosphate; Magnesium; Potassium; Hydrogen carbonate; NAD; Lipoamide; Dihydrolipoamide; Acetaldehyde; S-Lactoylglutathione; Pyruvaldehyde; Malonyl-CoA; Guanosine diphosphate; Acetyl-CoA; FAD; Guanosine triphosphate; Zinc (II) ion; D-Lactic acid; Manganese; ADP; Hydrogen; Thiamine pyrophosphate; Coenzyme A; Phosphate; Acetoacetyl-CoA; NADH; Acetylphosphate; Propylene glycol; Carbon dioxide; Water; Phosphoric acid; D-Lactaldehyde; S-Acetyldihydrolipoamide-E; Acetyl adenylate; Hydrogen Ion,http://www.smpdb.ca/view/SMP00558
Primary Hyperoxaluria Type I,Biotin; Adenosine monophosphate; Glyoxylic acid; Glycine; L-Glutamic acid; L-Alanine; Oxoglutaric acid; Oxalacetic acid; Pyruvic acid; Pyrophosphate; Adenosine triphosphate; Hydrogen carbonate; Zinc (II) ion; Manganese; ADP; Phosphate; Pyridoxal 5'-phosphate,http://www.smpdb.ca/view/SMP00352
Procainamide (Antiarrhythmic) Action Pathway,"Calcium; Adenosine triphosphate; Magnesium; Potassium; Sodium; ADP; Phosphate; Inositol 1,4,5-trisphosphate; Water; DG(14:0/14:1(9Z)/0:0); PIP2(16:0/20:3(8Z,11Z,14Z)); Procainamide",http://www.smpdb.ca/view/SMP00324
Procaine Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Procaine,http://www.smpdb.ca/view/SMP00402
Prolidase Deficiency (PD),Tetrahydrobiopterin; Adenosine monophosphate; Ammonia; Argininosuccinic acid; Creatine; Glycine; Guanidoacetic acid; Fumaric acid; L-Glutamic acid; L-Proline; L-Aspartic acid; Oxoglutaric acid; Ornithine; NADP; NADPH; Oxalacetic acid; Pyrophosphate; Succinic acid; Urea; L-Arginine; Adenosine triphosphate; NAD; Citrulline; S-Adenosylhomocysteine; Carbamoyl phosphate; S-Adenosylmethionine; FAD; 1-Pyrroline-5-carboxylic acid; Manganese; ADP; Pyrroline hydroxycarboxylic acid; Oxygen; Phosphate; NADH; Pyridoxal 5'-phosphate; Phosphocreatine; Flavin Mononucleotide; Carbon dioxide; 4-Hydroxy-2-oxoglutaric acid; L-Glutamic gamma-semialdehyde; Water; Phosphoric acid; 1-Pyrroline-4-hydroxy-2-carboxylate; 4-Hydroxy-L-glutamic acid; Hydrogen peroxide; Heme; Nitric oxide; D-Proline; N-(o)-Hydroxyarginine; 4-Hydroxy-L-proline; L-4-Hydroxyglutamate semialdehyde; 1-Pyrroline-2-carboxylic acid; Hydrogen Ion,http://www.smpdb.ca/view/SMP00207
Prolinemia Type II,Tetrahydrobiopterin; Adenosine monophosphate; Ammonia; Argininosuccinic acid; Creatine; Glycine; Guanidoacetic acid; Fumaric acid; L-Glutamic acid; L-Proline; L-Aspartic acid; Oxoglutaric acid; Ornithine; NADP; NADPH; Oxalacetic acid; Pyrophosphate; Succinic acid; Urea; L-Arginine; Adenosine triphosphate; NAD; Citrulline; S-Adenosylhomocysteine; Carbamoyl phosphate; S-Adenosylmethionine; FAD; 1-Pyrroline-5-carboxylic acid; Manganese; ADP; Pyrroline hydroxycarboxylic acid; Oxygen; Phosphate; NADH; Pyridoxal 5'-phosphate; Phosphocreatine; Flavin Mononucleotide; Carbon dioxide; 4-Hydroxy-2-oxoglutaric acid; L-Glutamic gamma-semialdehyde; Water; Phosphoric acid; 1-Pyrroline-4-hydroxy-2-carboxylate; 4-Hydroxy-L-glutamic acid; Hydrogen peroxide; Heme; Nitric oxide; D-Proline; N-(o)-Hydroxyarginine; 4-Hydroxy-L-proline; L-4-Hydroxyglutamate semialdehyde; 1-Pyrroline-2-carboxylic acid; Hydrogen Ion,http://www.smpdb.ca/view/SMP00208
Promethazine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Promethazine; Histamium",http://www.smpdb.ca/view/SMP59211
Proparacaine Action Pathway,Dopamine; Norepinephrine; Serotonin; Calcium; Adenosine triphosphate; Potassium; Sodium; ADP; Phosphate; Water; Proparacaine,http://www.smpdb.ca/view/SMP00403
Propiomazine H1-Antihistamine Action,"Calcium; Histamine; Guanosine diphosphate; Guanosine triphosphate; Inositol 1,4,5-trisphosphate; Water; Propiomazine; Histamium",http://www.smpdb.ca/view/SMP62625
